Class, #, Occurance, Right, NONE
Botnet ARES, 0, 75, 73, 97.333%
FTP-Patator, 1, 26, 19, 73.077%
SSH-Patator, 2, 255, 251, 98.431%
DDoS LOIT, 3, 9358, 9328, 99.679%
DoS GoldenEye, 4, 742, 672, 90.566%
DoS Hulk, 5, 23175, 15424, 66.554%
DoS Slowhttptest, 6, 414, 382, 92.271%
DoS slowloris, 7, 387, 349, 90.181%
Heartbleed, 8, 0, 0, 100.000%
Infiltration, 9, 7584, 6838, 90.164%
Benign, 10, 171418, 165646, 96.633%
PortScan - Firewall off, 11, 15835, 14634, 92.416%
PortScan - Firewall on, 12, 38, 36, 94.737%
SQL Injection, 13, 1, 1, 100.000%
XSS, 14, 68, 20, 29.412%

Benign, 10, 171418, 165646, 96.633%
Attack, !10, 57958, 48027, 82.865%
Overall, ALL, 229376, 213673, 93.154%
